ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,50.083333333333336,29.68769444444445,59.2,14.6,13.62222222222222,36.85946601247419,26.744444444444444,2.223773,1.6369379344444444,0.0001181,176.6999552505045,0.7920402718366449,468.8878409272938,107.89348591908072,26.60886645977328,128.08649459456606,86.99218175988621
1,50.083333333333336,31.12605555555556,89.6,10.6,44.02222222222221,32.85946601247419,22.744444444444444,1.6087866,1.0219515344444443,0.000132,274.96975472606107,1.2325250392470781,1104.3424351653819,542.5849117218802,64.18973285995457,1238.2673446378567,354.9470312436687
3,50.083333333333336,30.717916666666664,40.1,11.2,-5.477777777777781,33.459466012474195,23.34444444444444,1.535315,0.9484799344444443,0.000132,295.96500521570357,1.326634196668879,531.9803128642204,-72.67007321752864,-20.296878305145153,-93.47960393170696,-44.24750048974364
5,51.35416666666666,31.47686111111111,35.1,1.8,-10.477777777777781,24.059466012474193,13.944444444444445,1.8411709,1.2543358344444444,0.0001284,225.9711778382224,1.0128937093871817,355.5256919949008,-106.12875199467918,-5.442500102291239,-120.69704526835596,-65.46808519207366
6,51.35416666666666,33.71738888888889,2.4,11.1,-43.177777777777784,33.35946601247419,23.244444444444444,1.8839344,1.2970993344444444,0.0001284,218.69914248925875,0.9802975219889825,23.527140527735575,-423.27068560546513,-1957.6269209252762,-808.0016479216923,-383.972999561171
7,51.60833333333333,28.107666666666667,46.8,10.2,1.2222222222222143,32.459466012474195,22.34444444444444,1.4590602,0.8722251344444443,0.000132,321.43806583348976,1.4408147001535572,674.3012796718647,17.60995744632114,3.8380676485571716,122.2777090001678,13.10702523047354
8,51.8625,29.02272222222222,26.2,11.7,-19.377777777777784,33.959466012474195,23.84444444444444,1.3500432,0.7632081344444444,0.0001347,365.5743796308449,1.6386514111383768,429.3266697182547,-317.5342290028144,-141.79963661576062,-424.33124606210475,-212.9343096457567
9,51.8625,31.403166666666664,15.1,14.1,-30.47777777777778,36.35946601247419,26.244444444444444,2.951023,2.3641879344444447,9.435e-05,129.0845187572131,0.5786087335529964,87.36991876650245,-176.34708401509658,-164.66846917965972,-215.30929758695513,-161.95314649498116
10,52.11666666666667,29.444277777777778,18.9,9.8,-26.677777777777784,32.05946601247419,21.944444444444443,1.2254761,0.6386410344444444,0.0001347,436.3285636764087,1.9558001228377158,369.6462232163282,-521.7640105481507,-270.5443017657078,-1590.1237365068484,-257.2968257427814
12,52.11666666666667,29.36583333333333,24.8,2.0,-20.777777777777782,24.259466012474192,14.144444444444444,1.6614591,1.0746240344444444,0.000132,261.66255401140995,1.1728768132106033,290.8734496762296,-243.69773785598093,-19.653043375482333,-448.73675654756954,-180.6456969844502
13,52.11666666666667,30.831722222222226,60.2,3.1,14.62222222222222,25.359466012474194,15.244444444444444,4.2798996,3.693064534444445,4.823e-05,97.1356369979095,0.435400995001838,262.11139899110646,63.665301046935404,3.2784457349750786,84.57658646326512,58.865557405853906
14,52.37083333333333,33.677388888888885,29.9,11.6,-15.677777777777784,33.85946601247419,23.744444444444444,1.1284653,0.5416302344444444,0.0001366,512.0093943938263,2.295032046520251,686.214581909555,-359.8100241822306,-139.5918488466179,-1124.3301263350718,-242.09070294370662
15,52.625,30.546833333333336,-8.3,10.6,-53.87777777777778,32.85946601247419,22.744444444444444,6.3971705,5.810335434444444,6.233e-06,86.43306304506514,0.38742775374693705,-32.15650356099577,-208.73746421321087,266.5803759831368,-247.18000952620255,-207.1548723798149
16,52.625,28.6525,6.5,7.8,-39.07777777777778,30.059466012474193,19.944444444444443,1.1347855,0.5479504344444444,0.0001366,506.1133747537427,2.268603714991442,147.45924147444376,-886.5199184027671,-1063.8239020833205,-1697.7576305284763,-470.9686198564153
17,52.625,30.064722222222223,28.1,5.7,-17.47777777777778,27.95946601247419,17.844444444444445,1.0084964,0.4216613344444444,0.0001366,657.3752081475211,2.946620092923578,828.0002461115255,-515.0037117965321,-104.46694509751718,-1748.5712387024112,-259.2281865235318
18,52.87916666666667,28.679194444444445,19.9,12.3,-25.677777777777784,34.55946601247419,24.444444444444443,1.2376827,0.6508476344444443,0.0001347,428.2073332105402,1.9193975013615783,381.96010277095405,-492.8586250718454,-304.63121047154266,-1024.9325037842468,-319.94043306624854
19,53.13333333333333,29.549722222222226,33.0,12.1,-12.577777777777783,34.35946601247419,24.244444444444444,0.9465114,0.35967633444444436,0.0001381,766.7474298277818,3.4368703822810462,1134.1672261527451,-432.28191919357175,-158.50337037097628,-563.1253533373877,-352.5091821803127
20,53.13333333333333,31.861861111111114,67.4,12.4,21.822222222222223,34.65946601247419,24.544444444444444,1.37211,0.7852749344444443,0.0001347,355.3661473988002,1.5928940083106407,1073.610561601372,347.6048702580109,63.951044379812096,910.040691182182,206.04738445830787
21,53.641666666666666,31.202916666666667,28.2,7.7,-17.377777777777784,29.95946601247419,19.844444444444445,3.4997888,2.9129537344444447,7.534e-05,110.92756135181706,0.497221947355408,140.21658915422503,-86.40612507376204,-23.59316181092084,-97.36029170217161,-77.51158367663785
22,53.895833333333336,30.54002777777778,22.2,5.2,-23.377777777777784,27.45946601247419,17.344444444444445,1.9867043,1.3998692344444443,0.0001238,204.11855732649835,0.9149414746743234,203.11700737769976,-213.8929847460863,-50.10105949007428,-244.06415357954083,-188.40020294718295
23,54.15,32.30811111111111,34.3,1.5,-11.277777777777786,23.759466012474192,13.644444444444444,1.0281031,0.4412680344444444,0.0001366,628.2254017930785,2.8159589361834585,965.8739151109262,-317.5775911362458,-13.88823284852387,-378.3283120137391,-100.43336481317876
25,54.40416666666667,30.01377777777778,-3.5,17.3,-49.07777777777778,39.55946601247419,29.444444444444443,0.9476806,0.36084553444444434,0.0001381,764.2630396680563,3.4257343463116667,-119.90070212090835,-1681.2742897398482,8310.298632142678,-4910.005824124952,-769.8609392203168
29,54.40416666666667,31.253944444444443,110.8,16.1,65.22222222222221,38.35946601247419,28.244444444444447,2.8611934,2.274358334444444,0.0001032,132.60064995447752,0.5943694478403684,658.5613482071282,387.6609620914402,56.329796838196636,440.62278927445107,277.2564849371045
