ID#,Ra(deg),Dec(deg),RM_Raw_Value,RM_Raw_Err,Scaled_RM,TotalRMScaledErrWithStDev,TotalRMScaledErrWithAvgErr,Extinction,Scaled_Extinction,eAbundance,BScaled_RM_ERR_with_0.05Uncty&StDev,BScaled_RM_ERR_with_0.05Uncty,Raw_Magnetic_FieldMagnetic_Field(uG),Magnetic_Field(uG),Reference_BField_RMErr(±),BField_of_Min_Extinction,BField_of_Max_Extinction
0,50.083333333333336,29.68769444444445,59.2,14.6,13.62222222222222,36.85946601247419,26.744444444444444,2.223773,1.6369379344444444,0.0001158,180.45416410439697,0.8088681459408181,478.8499423969643,110.18581632482697,27.174204701730975,132.12331840287075,91.42158223142368
1,50.083333333333336,31.12605555555556,89.6,10.6,44.02222222222221,32.85946601247419,22.744444444444444,1.6087866,1.0219515344444443,0.0001246,280.92348536250455,1.2592120546741372,1128.2540009880267,554.3331289576589,65.5795889168659,1244.3795364978196,364.5940182310874
3,50.083333333333336,30.717916666666664,40.1,11.2,-5.477777777777781,33.459466012474195,23.34444444444444,1.535315,0.9484799344444443,0.0001246,302.2078985239803,1.3546173554983465,543.2015595548369,-74.20292847340947,-20.72500745391985,-94.75043719331426,-45.44982110726286
5,51.35416666666666,31.47686111111111,35.1,1.8,-10.477777777777781,24.059466012474193,13.944444444444445,1.8411709,1.2543358344444444,0.0001246,229.7448269657343,1.029808722617,361.46286163856706,-107.90106949198127,-5.5333881790759625,-123.36824835383842,-68.43755936335121
6,51.35416666666666,33.71738888888889,2.4,11.1,-43.177777777777784,33.35946601247419,23.244444444444444,1.8839344,1.2970993344444444,0.0001246,222.29249638583266,0.9964043794752384,23.91370510740572,-430.2252687378641,-1989.7918679126215,-819.1225059849291,-394.2781649560364
7,51.60833333333333,28.107666666666667,46.8,10.2,1.2222222222222143,32.459466012474195,22.34444444444444,1.4590602,0.8722251344444443,0.0001309,324.40474203222504,1.4541125361352722,680.5246669113073,17.772486552764324,3.8734906589358142,82.34727340558385,13.332351787185
8,51.8625,29.02272222222222,26.2,11.7,-19.377777777777784,33.959466012474195,23.84444444444444,1.3500432,0.7632081344444444,0.0001309,370.5188939071603,1.6608147129114927,435.13345478281104,-321.8289843686271,-143.71752355392888,-431.9389407648742,-216.64151573832035
9,51.8625,31.403166666666664,15.1,14.1,-30.47777777777778,36.35946601247419,26.244444444444444,2.951023,2.3641879344444447,9.097e-05,134.18921567157125,0.6014900383386147,90.82499578913081,-183.32079724031337,-171.18034709194825,-222.48041190978142,-170.6440282331437
10,52.11666666666667,29.444277777777778,18.9,9.8,-26.677777777777784,32.05946601247419,21.944444444444443,1.2254761,0.6386410344444444,0.0001309,442.37165285534115,1.982887679194078,374.7657713676807,-528.9903686383313,-274.2913022569126,-1606.290571881646,-265.2263991322027
12,52.11666666666667,29.36583333333333,24.8,2.0,-20.777777777777782,24.259466012474192,14.144444444444444,1.6614591,1.0746240344444444,0.0001246,267.420937929624,1.1986882060740376,297.2746751063613,-249.0607717064945,-20.08554610536246,-456.8128981328697,-185.50862834755125
